treatment,plant,day,num_sdb
wheast_paste,36,21,0
wheast_paste,36,22,0
wheast_paste,36,23,0
wheast_paste,36,24,0
wheast_paste,36,25,0
wheast_paste,36,26,0
wheast_paste,36,27,0
wheast_paste,36,28,0
wheast_paste,36,29,0
wheast_paste,36,30,0
wheast_paste,36,31,0
wheast_paste,36,32,0
wheast_paste,36,33,0
wheast_paste,36,34,0
wheast_paste,37,0.041666667,1
wheast_paste,37,0.166666667,0
wheast_paste,37,0.333333333,2
wheast_paste,37,1,1
wheast_paste,37,2,0
wheast_paste,37,3,0
wheast_paste,37,4,0
wheast_paste,37,5,0
wheast_paste,37,6,0
wheast_paste,37,7,0
wheast_paste,37,8,0
wheast_paste,37,9,0
wheast_paste,37,10,0
wheast_paste,37,11,0
wheast_paste,37,12,0
wheast_paste,37,14,0
wheast_paste,37,15,0
wheast_paste,37,16,0
wheast_paste,37,17,0
wheast_paste,37,18,0
wheast_paste,37,19,0
wheast_paste,37,20,0
wheast_paste,37,21,0
wheast_paste,37,22,0
wheast_paste,37,23,0
wheast_paste,37,24,0
wheast_paste,37,25,0
wheast_paste,37,26,0
wheast_paste,37,27,0
wheast_paste,37,28,0
wheast_paste,37,29,0
wheast_paste,37,30,0
wheast_paste,37,31,0
wheast_paste,37,32,0
wheast_paste,37,33,0
wheast_paste,37,34,0
wheast_paste,41,0.041666667,1
wheast_paste,41,0.166666667,1.125
wheast_paste,41,0.333333333,1.125
wheast_paste,41,1,0.75
wheast_paste,41,2,0.375
wheast_paste,41,3,0.375
wheast_paste,41,4,0
wheast_paste,41,5,0.25
wheast_paste,41,6,0.375
wheast_paste,41,7,0.125
wheast_paste,41,8,0.125
wheast_paste,41,9,0
wheast_paste,41,10,0.125
wheast_paste,41,11,0
wheast_paste,41,12,0
wheast_paste,41,14,0
wheast_paste,41,15,0.125
wheast_paste,41,16,0.125
wheast_paste,41,17,0
wheast_paste,41,18,0
wheast_paste,41,19,0
wheast_paste,41,20,0
wheast_paste,41,21,0
wheast_paste,41,22,0
wheast_paste,41,23,0
wheast_paste,41,24,0
wheast_paste,41,25,0
wheast_paste,41,26,0
wheast_paste,41,27,0
wheast_paste,41,28,0
wheast_paste,41,29,0
wheast_paste,41,30,0
wheast_paste,41,31,0
wheast_paste,41,32,0
wheast_paste,41,33,0
wheast_paste,41,34,0
